1       1.000
2       1.480
3       1.736
4       1.939
5       2.064
6       2.179
7       2.277
8       2.336
9       2.383
10      2.409
11      2.392
12      2.424
13      2.456
14      2.504
15      2.416
16      2.557
17      2.521
18      2.555
19      2.607
20      2.565
21      2.584
22      2.620
23      2.625
24      2.601
25      2.652
26      2.656
27      2.627
28      2.649
29      2.627
30      2.626
31      2.624
32      2.658
